Year,Month,Title,Description,Category
2026,Ongoing,Research Paper Review,"Contributing to the evaluation of research in AI, machine learning, and computational intelligence - 

Active Reviewer for the Journal of Computational and Cognitive Engineering (JCCE) since 2023, 
https://ojs.bonviewpress.com/index.php/JCCE/

Active Reviewer for the Journal of Emerging Technologies and Innovative Research (JETIR) since 2024, https://www.jetir.org/ 

Active Reviewer for the INTERNATIONAL CONFERENCE ON INFORMATION MANAGEMENT & MACHINE INTELLIGENCE (ICIMMI), since 2022, https://icimmi.poornima.org/

Active Reviewer for IEEE access, since 2024, https://ieeeaccess.ieee.org/

Reviewer and TPC member of 2024 International Conference on Platform Technology and Service, https://2024.platcon.org/committees",Research Paper Review
2026,2,Book - Chapter,"Wrote a chapter, title ""AI Disruption and Opportunities: Preparing Youth for Global Challenges"" in book published by Jaipuria INstitute of Management, https://www.jaipuria.ac.in/youth2047/",
2026,1,Speaker,"Invited as speaker at San Francisco Meetup on Jan 27th organized by the test tribe
https://www.thetesttribe.com/",
2025,5,Judge/Chair,"Served as Session Chair/Judge for 1st International Conference on Networked Computing and Data Analytics (ICNCDA-2025), hosted by the Poornima Institute of Engineering & Technology (PIET), Jaipur, India. https://icncda.poornima.org/",
2025,2,podcast,"At podcast hosted by Gandharv Madan, we discussed about “What is SaaS and Why is it Important for Testers to Understand?”
https://www.youtube.com/watch?v=nLjOtOjIcKM
",
2025,1,Research Paper Review,"Reviewed multiple papers for ""9th International Conference on Management Engineering, Software Engineering, and Service Sciences (ICMSS 2025)"", Jan. 10-12, 2025 - Bangkok, Thailand. https://www.icmss.org/2025.html",
2024,11,podcast,"At podcast hosted by Evgeny Kim we talked about “How to Stand Out as a Lead Software QA Engineer!”,
https://www.youtube.com/watch?v=59OL3fw5B6I",
2024,10,Volunteer,"Volunteer at various IEEE programs in Bay Area, since 2022, https://www.ieee.org/

Volunteer as Proctor at IEEE xtreme, Ocotber 2024, https://ieeextreme.org/",
2024,12,Judge/Chair,"Session Co-Chair for Technical Session  at the 6th International Conference on Information Management & Machine Intelligence (ICIMMI-2024), organized by the Poornima Institute of Engineering & Technology (PIET), Jaipur, India.",
2023,11,podcast,"At TechGuide Podcast (Episode #39), I shared insights on navigating careers in both startups and corporations, aiming to inspire listeners to make an impactful career in technology.
https://www.youtube.com/watch?v=525CD_eBp_0",
2023,2,Judge/Chair,"Session Chair for Technical Research Paper Presentations at the International Conference (YOUTH 2025), Jaipuria Institute of Management, contributing to the evaluation and discussion of research in emerging technologies. https://www.jaipuria.ac.in/",